S1_Light,S2_Light,S3_Light,S4_Light,S5_CO2,S5_CO2_Slope,S6_PIR,S7_PIR,Temperature,Sound,Room_Occupancy_Count
0,0,0,0,365,-0.038461538,0,0,25.2975,0.0574999999999999,0
8,9,43,29,355,-0.119230769,0,0,25.015,0.065,0
0,0,0,0,605,-2.011538462,0,0,25.6425,0.06,0
0,0,0,0,360,0.023076923,0,0,25.1425,0.0625,0
0,0,0,0,570,-1.526923077,0,0,25.6125,0.06,0
0,0,0,0,355,-0.173076923,0,0,25.095,0.0574999999999999,0
7,7,35,24,360,-0.030769231,0,0,25.0,0.065,0
0,0,0,0,375,-0.126923077,0,0,25.3775,0.0574999999999999,0
10,11,49,33,355,0.0,0,0,25.1575,0.07,0
17,20,73,54,355,0.0,0,0,25.485,0.07,0
5,5,29,20,350,0.0,0,0,25.0,0.0725,0
0,0,0,0,475,-1.842307692,0,0,25.5325,0.0625,0
0,0,0,0,350,-0.046153846,0,0,25.1125,0.075,0
9,8,33,29,445,2.542307692,0,0,25.845,0.0825,3
161,249,83,62,575,2.684615385,1,0,26.1875,0.6275,2
116,25,185,16,700,2.373076923,1,1,25.985,1.7125,2
0,0,0,0,430,-1.926923077,0,0,25.455,0.0675,0
19,23,80,59,355,0.0,0,0,25.5325,0.0775,0
123,37,70,50,365,0.296153846,0,0,25.455,0.3424999999999999,1
0,0,0,0,385,0.0,0,0,25.425,0.0625,0
0,0,0,0,355,-0.138461538,0,0,25.5325,0.075,0
119,24,192,14,620,2.092307692,0,1,25.97,0.13,2
161,250,83,62,560,4.873076923,0,0,25.9525,0.3249999999999999,2
150,236,180,10,1160,2.957692308,1,0,26.375,0.795,3
0,0,0,0,355,-0.142307692,0,0,25.5175,0.0725,0
0,0,0,0,355,0.065384615,0,0,25.455,0.0725,0
0,0,0,0,880,-3.457692308,0,0,25.875,0.0625,0
0,0,0,0,780,-1.95,0,0,25.7975,0.0575,0
9,9,49,35,435,-1.288461538,0,0,26.0775,0.06,0
0,0,0,0,795,-1.776923077,0,0,25.8125,0.06,0
5,5,26,18,350,0.0,0,0,24.9525,0.0675,0
0,0,3,2,355,0.003846154,0,0,25.05,0.0625,0
13,14,59,43,355,0.0,0,0,25.2825,0.07,0
0,0,0,0,355,0.215384615,0,0,25.5175,0.075,0
123,35,59,45,440,0.934615385,0,0,25.1725,0.135,1
0,0,0,0,390,-0.742307692,0,0,25.44,0.0625,0
0,0,0,0,390,-1.603846154,0,0,25.485,0.0575,0
0,0,0,0,345,0.0,0,0,25.11,0.0675,0
0,0,0,0,740,-2.05,0,0,25.7825,0.0575,0
4,4,19,13,360,0.007692308,0,0,25.0325,0.0575,0
0,0,0,0,365,-0.065384615,0,0,25.1725,0.06,0
0,0,0,0,440,-1.207692308,0,0,25.515,0.0575,0
142,227,172,10,1250,1.357692308,0,0,26.735,1.235,3
8,10,42,30,355,0.0,0,0,25.6275,0.0825,0
0,0,0,0,700,-1.630769231,0,0,25.735,0.065,0
165,254,278,73,865,0.496153846,0,1,26.3925,0.6025,2
0,0,0,0,355,0.0,0,0,25.425,0.0725,0
2,2,14,8,345,0.0,0,0,24.9525,0.065,0
165,255,278,74,960,1.442307692,0,0,26.4075,0.14,3
117,19,183,7,1060,2.084615385,0,0,26.22,0.1699999999999999,2
148,234,177,10,1035,2.557692308,0,1,26.2525,0.7899999999999999,3
0,0,0,0,345,-0.115384615,0,0,25.25,0.065,0
5,5,27,18,360,0.0,0,0,25.0475,0.0575,0
119,24,195,16,575,1.765384615,0,0,25.955,0.5449999999999999,2
0,0,0,0,370,-0.238461538,0,0,25.33,0.06,0
0,0,0,0,385,-0.219230769,0,0,25.425,0.0675,0
0,0,0,0,500,-1.626923077,0,0,25.565,0.06,0
11,12,50,36,355,0.0,0,0,25.22,0.065,0
150,236,180,11,1165,3.238461538,0,0,26.345,0.7625000000000001,3
4,4,21,15,360,0.076923077,0,0,24.985,0.065,0
14,15,60,43,355,0.0,0,0,25.3,0.07,0
117,26,43,24,620,0.892307692,0,0,25.905,0.065,1
0,0,0,0,390,-1.642307692,0,0,25.47,0.065,0
0,0,0,0,640,-2.130769231,0,0,25.6725,0.06,0
14,18,70,50,355,0.0,0,0,25.6125,0.075,0
6,6,32,20,350,0.0,0,0,25.0825,0.0725,0
0,0,6,4,345,0.0,0,0,24.9525,0.0625,0
160,247,72,54,610,1.373076923,0,0,26.2825,0.8425,2
0,0,0,0,365,0.011538462,0,0,25.2975,0.0574999999999999,0
4,4,26,15,350,-0.030769231,0,0,25.5975,0.07,0
0,0,0,0,350,0.084615385,0,0,25.515,0.0675,0
0,0,0,0,360,-0.026923077,0,0,25.28,0.0625,0
4,4,20,14,360,-0.011538462,0,0,25.05,0.0574999999999999,0
14,19,70,50,355,0.0,0,0,25.5825,0.0775,0
121,25,47,35,425,0.238461538,0,0,26.14,0.095,1
0,0,0,0,365,-0.05,0,0,25.2975,0.0574999999999999,0
0,0,0,0,650,-2.280769231,0,0,25.6425,0.06,0
